1.        .1064     .0653     .5054     .4741     .0915     .4732     .1681	.3091     .1242
.1064     1.        .2701     .1424     .1321     .1885     .0815     .3520	.0637     .3946
.0653     .2701     1.        .0926     .0704     .1546     .0392     .2004	.0512     .2432
.5054     .1424     .0926     1.        .6217     .0785     .5806     .1867	.2963     .1403
.4741     .1321     .0704     .6217     1.        .0849     .5932     .1813	.3412     .1420
.0915     .1885     .1546     .0785     .0849     1.        .0487     .1973	.0969     .2661
.4732     .0815     .0392     .5806     .5932     .0487     1.        .1314	.3261     .1221
.1681     .3520     .2004     .1867     .1813     .1973     .1314     1.	.1469     .5237
.3091     .0637     .0512     .2963     .3412     .0969     .3261     .1469	1.        .1212
.1242     .3946     .2432     .1403     .1420     .2661     .1221     .5237	.1212     1.
