mh_1,mh_2,mh_3,mh_4,mh_5,mh_6,mh_7,mh_8,mh_9,mh_10,mh_11,mh_12,mh_13,mh_14,mh_15,mh_16,mh_17,mh_total
1,1,3,3,1,3,3,3,3,1,3,2,1,1,1,3,3,70
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,113
2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,90
3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,3,1,68
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,103
3,1,3,3,1,3,3,3,3,1,3,3,3,3,3,3,2,93
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,108
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,102
1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,95
1,1,3,2,1,3,3,3,3,3,3,3,3,1,3,3,3,88
3,1,3,3,2,3,1,3,3,3,2,3,3,3,3,3,2,84
3,3,3,3,2,3,3,3,3,1,3,3,3,2,3,3,3,90
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,95
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
1,1,3,3,1,3,3,2,3,2,3,3,3,3,3,3,2,84
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
1,1,3,1,1,3,3,3,3,3,2,3,3,3,2,1,3,85
3,3,3,3,1,3,3,3,2,1,1,3,3,1,1,3,3,80
3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,96
1,1,3,3,2,3,3,3,3,3,2,3,1,3,1,1,3,75
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,113
1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,3,42
3,3,3,3,3,1,2,3,2,3,2,3,3,3,3,3,1,93
3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,115
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,114
3,3,3,3,1,3,3,3,3,3,3,3,3,2,2,2,3,91
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,107
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,112
1,1,3,2,3,3,3,3,3,3,3,3,1,2,3,3,2,91
3,3,2,3,3,3,3,1,3,3,1,3,1,3,3,3,1,79
3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,85
1,1,3,1,1,3,3,2,3,1,3,2,1,1,1,1,3,57
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,118
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,112
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,119
3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,95
1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,85
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,114
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,106
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,94
